| c7 | Done
ompleted in: 5.035ms. Reply: {c0-0} {c0-10} {c0-11} {c0-12} {c0-13} {c0-14} {c0-15} {c0-16} {c0-17} {c0-18} {c0-19} {c0-1} {c0-20} {c0-21} {c0-22} {c0-23} {c0-24} {c0-25} {c0-26} {c0-27} {c0-28} {c0-29} {c0-2} {c0-3} {c0-4} {c0-5} {c0-6} {c0-7} {c0-8} {c0-9} {c1-0} {c1-10} {c1-11} {c1-12} {c1-13} {c1-14} {c1-15} {c1-16} {c1-17} {c1-18} {c1-19} {c1-1} {c1-20} {c1-21} {c1-22} {c1-23} {c1-24} {c1-25} {c1-26} {c1-27} {c1-28} {c1-29} {c1-2} {c1-3} {c1-4} {c1-5} {c1-6} {c1-7} {c1-8} {c1-9} {c2-0} {c2-10} {c2-11} {c2-12} {c2-13} {c2-14} {c2-15} {c2-16} {c2-17} {c2-1} {c2-2} {c2-3} {c2-4} {c2-5} {c2-6} {c2-7} {c2-8} {c2-9} {c3-0} {c3-1} {c3-2} {c3-3} {c3-4} {c4-0} {c4-10} {c4-11} {c4-12} {c4-13} {c4-14} {c4-15} {c4-16} {c4-17} {c4-18} {c4-19} {c4-1} {c4-20} {c4-21} {c4-22} {c4-23} {c4-24} {c4-25} {c4-26} {c4-27} {c4-28} {c4-29} {c4-2} {c4-3} {c4-4} {c4-5} {c4-6} {c4-7} {c4-8} {c4-9} {c5-0} {c5-1} {c5-2} {c5-3} {c5-4} {c5-5} {c5-6} {c5-7} {c5-8} {c5-9} {c6-0} {c6-1} {c6-2} {c6-3} {c7-0} {c7-10} {c7-11} {c7-12} {c7-13} {c7-14} {c7-15} {c7-16} {c7-17} {c7-18} {c7-19} {c7-1} {c7-20} {c7-21} {c7-22} {c7-23} {c7-24} {c7-25} {c7-26} {c7-27} {c7-28} {c7-29} {c7-2} {c7-3} {c7-4} {c7-5} {c7-6} {c7-7} {c7-8} {c7-9} {c8-0} {c8-1} {c8-2} {c8-3} {c9-0} {c9-1} {c9-2} {c9-3}
| c9 | Id set
| c4 | Id set
| c1 | Id set
| c6 | Id set
| c0 | Id set
| c7 | Id set
| c8 | Id set
| c6 | Established connection with tcp://localhost:5500
| c7 | Established connection with tcp://localhost:5500
| c7 | Established connection with tcp://localhost:5501
| c2 | Id set
| c7 | Established connection with tcp://localhost:5502
| c6 | Established connection with tcp://localhost:5501
| c2 | Established connection with tcp://localhost:5500
| c6 | Established connection with tcp://localhost:5502
| c7 | Established connection with tcp://localhost:5503
| c9 | Established connection with tcp://localhost:5500
| c6 | Established connection with tcp://localhost:5503
| c9 | Established connection with tcp://localhost:5501
| c7 | Established connection with tcp://localhost:5504
| c9 | Established connection with tcp://localhost:5502
| c2 | Established connection with tcp://localhost:5501
| c7 | Established connection with tcp://localhost:5505
| c2 | Established connection with tcp://localhost:5502
| c7 | Established connection with tcp://localhost:5506
| c2 | Established connection with tcp://localhost:5503
| c7 | Established connection with tcp://localhost:5507
| c6 | Established connection with tcp://localhost:5504
| c2 | Established connection with tcp://localhost:5504
| c7 | Established connection with tcp://localhost:5508
| c1 | Established connection with tcp://localhost:5500
| c9 | Established connection with tcp://localhost:5503
| c8 | Established connection with tcp://localhost:5500
| c2 | Established connection with tcp://localhost:5505
| c3 | Id set
| c6 | Established connection with tcp://localhost:5505
| c4 | Established connection with tcp://localhost:5500
| c5 | Id set
| c8 | Established connection with tcp://localhost:5501
| c8 | Established connection with tcp://localhost:5502
| c2 | Established connection with tcp://localhost:5506
| c0 | Established connection with tcp://localhost:5500
| c9 | Established connection with tcp://localhost:5504
| c7 | Established connection with tcp://localhost:5509
| c5 | Established connection with tcp://localhost:5500
| c8 | Established connection with tcp://localhost:5503
| c3 | Established connection with tcp://localhost:5500
| c9 | Established connection with tcp://localhost:5505
| c3 | Established connection with tcp://localhost:5501
| c9 | Established connection with tcp://localhost:5506
| c6 | Established connection with tcp://localhost:5506
| c4 | Established connection with tcp://localhost:5501
| c2 | Established connection with tcp://localhost:5507
| c9 | Established connection with tcp://localhost:5507
| c0 | Established connection with tcp://localhost:5501
| c9 | Established connection with tcp://localhost:5508
| c4 | Established connection with tcp://localhost:5502
| c3 | Established connection with tcp://localhost:5502
| c7 | Established connection with tcp://localhost:5510
| c9 | Established connection with tcp://localhost:5509
| c3 | Established connection with tcp://localhost:5503
| c1 | Established connection with tcp://localhost:5501
| c9 | Established connection with tcp://localhost:5510
| c5 | Established connection with tcp://localhost:5501
| c2 | Established connection with tcp://localhost:5508
| c0 | Established connection with tcp://localhost:5502
| c3 | Established connection with tcp://localhost:5504
| c2 | Established connection with tcp://localhost:5509
| c6 | Established connection with tcp://localhost:5507
| c1 | Established connection with tcp://localhost:5502
| c3 | Established connection with tcp://localhost:5505
| c6 | Established connection with tcp://localhost:5508
| c1 | Established connection with tcp://localhost:5503
| c6 | Established connection with tcp://localhost:5509
| c1 | Established connection with tcp://localhost:5504
| c2 | Established connection with tcp://localhost:5510
| c5 | Established connection with tcp://localhost:5502
| c3 | Established connection with tcp://localhost:5506
| c1 | Established connection with tcp://localhost:5505
| c5 | Established connection with tcp://localhost:5503
| c6 | Established connection with tcp://localhost:5510
| c3 | Established connection with tcp://localhost:5507
| c0 | Established connection with tcp://localhost:5503
| c1 | Established connection with tcp://localhost:5506
| c5 | Established connection with tcp://localhost:5504
| c1 | Established connection with tcp://localhost:5507
| c0 | Established connection with tcp://localhost:5504
| c8 | Established connection with tcp://localhost:5504
| c5 | Established connection with tcp://localhost:5505
| c4 | Established connection with tcp://localhost:5503
| c8 | Established connection with tcp://localhost:5505
| c5 | Established connection with tcp://localhost:5506
| c1 | Established connection with tcp://localhost:5508
| c8 | Established connection with tcp://localhost:5506
| c5 | Established connection with tcp://localhost:5507
| c3 | Established connection with tcp://localhost:5508
| c5 | Established connection with tcp://localhost:5508
| c5 | Established connection with tcp://localhost:5509
| c5 | Established connection with tcp://localhost:5510
| c4 | Established connection with tcp://localhost:5504
| c1 | Established connection with tcp://localhost:5509
| c4 | Established connection with tcp://localhost:5505
| c1 | Established connection with tcp://localhost:5510
| c4 | Established connection with tcp://localhost:5506
| c0 | Established connection with tcp://localhost:5505
| c8 | Established connection with tcp://localhost:5507
| c8 | Established connection with tcp://localhost:5508
| c8 | Established connection with tcp://localhost:5509
| c3 | Established connection with tcp://localhost:5509
| c8 | Established connection with tcp://localhost:5510
| c4 | Established connection with tcp://localhost:5507
| c4 | Established connection with tcp://localhost:5508
| c4 | Established connection with tcp://localhost:5509
| c0 | Established connection with tcp://localhost:5506
| c4 | Established connection with tcp://localhost:5510
| c0 | Established connection with tcp://localhost:5507
| c3 | Established connection with tcp://localhost:5510
| c0 | Established connection with tcp://localhost:5508
| c0 | Established connection with tcp://localhost:5509
| c0 | Established connection with tcp://localhost:5510
| c9 | Called ADD(c9-0)
| c2 | Called ADD(c2-0)
| c7 | Called ADD(c7-0)
| c2 | Waiting for f+1 ADD replies
| c7 | Waiting for f+1 ADD replies
| c9 | Waiting for f+1 ADD replies
| c2 | ADD completed in: 12.8921ms. Record {c2-0} appended
| c2 | Called GET
| c2 | Waiting for valid GET_REPLY
| c2 | localhost:5504-ADD_RESPONSE-c2.c2-0
| c2 | localhost:5508-ADD_RESPONSE-c2.c2-0
| c2 | localhost:5508-ADD_RESPONSE-c2.c2-0
| c2 | localhost:5503-ADD_RESPONSE-c2.c2-0
| c2 | localhost:5508-ADD_RESPONSE-c2.c2-0
| c9 | ADD completed in: 13.5281ms. Record {c9-0} appended
| c9 | Called GET
| c2 | localhost:5503-ADD_RESPONSE-c2.c2-0
| c2 | localhost:5508-ADD_RESPONSE-c2.c2-0
| c9 | Waiting for valid GET_REPLY
| c2 | localhost:5503-ADD_RESPONSE-c2.c2-0
| c9 | localhost:5501-ADD_RESPONSE-c9.c9-0
| c2 | localhost:5506-ADD_RESPONSE-c2.c2-0
| c9 | localhost:5504-ADD_RESPONSE-c9.c9-0
| c9 | localhost:5505-ADD_RESPONSE-c9.c9-0
| c9 | localhost:5508-ADD_RESPONSE-c9.c9-0
| c2 | localhost:5503-ADD_RESPONSE-c2.c2-0
| c2 | localhost:5506-ADD_RESPONSE-c2.c2-0
| c9 | localhost:5501-ADD_RESPONSE-c9.c9-0
| c9 | localhost:5504-ADD_RESPONSE-c9.c9-0
| c9 | localhost:5505-ADD_RESPONSE-c9.c9-0
| c9 | localhost:5508-ADD_RESPONSE-c9.c9-0
| c9 | localhost:5501-ADD_RESPONSE-c9.c9-0
| c9 | localhost:5504-ADD_RESPONSE-c9.c9-0
| c9 | localhost:5505-ADD_RESPONSE-c9.c9-0
| c9 | localhost:5508-ADD_RESPONSE-c9.c9-0
| c2 | localhost:5506-ADD_RESPONSE-c2.c2-0
| c9 | localhost:5504-ADD_RESPONSE-c9.c9-0
| c9 | localhost:5508-ADD_RESPONSE-c9.c9-0
| c9 | localhost:5507-ADD_RESPONSE-c9.c9-0
| c2 | localhost:5507-ADD_RESPONSE-c2.c2-0
| c9 | localhost:5507-ADD_RESPONSE-c9.c9-0
| c9 | localhost:5507-ADD_RESPONSE-c9.c9-0
| c2 | localhost:5506-ADD_RESPONSE-c2.c2-0
| c9 | localhost:5507-ADD_RESPONSE-c9.c9-0
| c2 | localhost:5507-ADD_RESPONSE-c2.c2-0
| c2 | localhost:5509-ADD_RESPONSE-c2.c2-0
| c9 | localhost:5510-ADD_RESPONSE-c9.c9-0
| c9 | localhost:5509-ADD_RESPONSE-c9.c9-0
| c9 | localhost:5510-ADD_RESPONSE-c9.c9-0
| c9 | localhost:5509-ADD_RESPONSE-c9.c9-0
| c9 | localhost:5510-ADD_RESPONSE-c9.c9-0
| c9 | localhost:5506-ADD_RESPONSE-c9.c9-0
| c9 | localhost:5509-ADD_RESPONSE-c9.c9-0
| c9 | localhost:5510-ADD_RESPONSE-c9.c9-0
| c2 | localhost:5510-ADD_RESPONSE-c2.c2-0
| c9 | localhost:5506-ADD_RESPONSE-c9.c9-0
| c9 | localhost:5509-ADD_RESPONSE-c9.c9-0
| c9 | localhost:5502-ADD_RESPONSE-c9.c9-0
| c9 | localhost:5506-ADD_RESPONSE-c9.c9-0
| c9 | localhost:5502-ADD_RESPONSE-c9.c9-0
| c2 | localhost:5500-ADD_RESPONSE-c2.c2-0
| c9 | localhost:5503-ADD_RESPONSE-c9.c9-0
| c9 | localhost:5506-ADD_RESPONSE-c9.c9-0
| c9 | localhost:5502-ADD_RESPONSE-c9.c9-0
| c9 | localhost:5503-ADD_RESPONSE-c9.c9-0
| c9 | localhost:5503-ADD_RESPONSE-c9.c9-0
| c9 | localhost:5503-ADD_RESPONSE-c9.c9-0
| c2 | localhost:5502-ADD_RESPONSE-c2.c2-0
| c2 | localhost:5505-ADD_RESPONSE-c2.c2-0
| c2 | localhost:5507-ADD_RESPONSE-c2.c2-0
| c2 | localhost:5509-ADD_RESPONSE-c2.c2-0
| c2 | localhost:5510-ADD_RESPONSE-c2.c2-0
| c2 | localhost:5500-ADD_RESPONSE-c2.c2-0
| c2 | localhost:5502-ADD_RESPONSE-c2.c2-0
| c2 | localhost:5504-ADD_RESPONSE-c2.c2-0
| c2 | localhost:5505-ADD_RESPONSE-c2.c2-0
| c2 | localhost:5507-ADD_RESPONSE-c2.c2-0
| c2 | localhost:5509-ADD_RESPONSE-c2.c2-0
| c2 | localhost:5510-ADD_RESPONSE-c2.c2-0
| c2 | localhost:5500-ADD_RESPONSE-c2.c2-0
| c2 | localhost:5502-ADD_RESPONSE-c2.c2-0
| c2 | localhost:5504-ADD_RESPONSE-c2.c2-0
| c2 | localhost:5505-ADD_RESPONSE-c2.c2-0
| c2 | localhost:5509-ADD_RESPONSE-c2.c2-0
| c2 | localhost:5510-ADD_RESPONSE-c2.c2-0
| c2 | localhost:5504-ADD_RESPONSE-c2.c2-0
| c9 | localhost:5500-GET_RESPONSE-{c2-0},{c9-0}
| c9 | localhost:5502-GET_RESPONSE-{c2-0},{c9-0}
