2023/01/09 03:43:02 | node0 | Established connection with tcp://node1:5555
2023/01/09 03:43:02 | node0 | Established connection with tcp://node2:5555
2023/01/09 03:43:02 | node0 | Established connection with tcp://node3:5555
2023/01/09 03:43:02 | node0 | Established connection with tcp://node4:5555
2023/01/09 03:43:02 | node0 | Established connection with tcp://node5:5555
2023/01/09 03:43:02 | node0 | Established connection with tcp://node6:5555
2023/01/09 03:43:02 | node0 | Established connection with tcp://node7:5555
2023/01/09 03:43:02 | node0 | Established connection with tcp://node8:5555
2023/01/09 03:43:02 | node0 | Established connection with tcp://node9:5555
2023/01/09 03:43:02 | node0 | Called GET
2023/01/09 03:43:02 | node0 | Waiting for valid GET_REPLY
2023/01/09 03:43:02 | node0 | Reply: {1} {2} {INIT}
2023/01/09 03:43:04 | node0 | Called GET
2023/01/09 03:43:04 | node0 | Waiting for valid GET_REPLY
2023/01/09 03:43:04 | node0 | Reply: {1} {2} {INIT}
2023/01/09 03:43:06 | node0 | Called GET
2023/01/09 03:43:06 | node0 | Waiting for valid GET_REPLY
2023/01/09 03:43:06 | node0 | Reply: {1} {2} {INIT}
2023/01/09 03:43:07 | node0 | Called GET
2023/01/09 03:43:07 | node0 | Waiting for valid GET_REPLY
2023/01/09 03:43:07 | node0 | Reply: {1} {2} {INIT}
2023/01/09 03:43:07 | node0 | Called ADD(aub)
2023/01/09 03:43:07 | node0 | Waiting for f+1 ADD replies
2023/01/09 03:43:07 | node0 | Record {aub} appended
2023/01/09 03:43:08 | node0 | Called GET
2023/01/09 03:43:08 | node0 | Waiting for valid GET_REPLY
2023/01/09 03:43:08 | node0 | Reply: {1} {2} {INIT} {aub}
2023/01/09 03:43:11 | node0 | Called ADD(z)
2023/01/09 03:43:11 | node0 | Waiting for f+1 ADD replies
2023/01/09 03:43:11 | node0 | Record {z} appended
2023/01/09 03:43:13 | node0 | Called GET
2023/01/09 03:43:13 | node0 | Waiting for valid GET_REPLY
2023/01/09 03:43:13 | node0 | Reply: {1} {2} {INIT} {aub} {z}
2023/01/09 03:43:14 | node0 | Called ADD(wmn)
2023/01/09 03:43:14 | node0 | Waiting for f+1 ADD replies
2023/01/09 03:43:14 | node0 | Record {wmn} appended
2023/01/09 03:43:16 | node0 | Called GET
2023/01/09 03:43:16 | node0 | Waiting for valid GET_REPLY
2023/01/09 03:43:16 | node0 | Reply: {1} {2} {INIT} {aub} {wmn} {z}
2023/01/09 03:43:17 | node0 | Called ADD(wce)
2023/01/09 03:43:17 | node0 | Waiting for f+1 ADD replies
2023/01/09 03:43:17 | node0 | Record {wce} appended
2023/01/09 03:43:18 | node0 | Called GET
2023/01/09 03:43:18 | node0 | Waiting for valid GET_REPLY
2023/01/09 03:43:18 | node0 | Reply: {1} {2} {INIT} {aub} {wce} {wmn} {z}
2023/01/09 03:43:19 | node0 | Called GET
2023/01/09 03:43:19 | node0 | Waiting for valid GET_REPLY
2023/01/09 03:43:19 | node0 | Reply: {1} {2} {INIT} {aub} {wce} {wmn} {z}
2023/01/09 03:43:19 | node0 | Called GET
2023/01/09 03:43:19 | node0 | Waiting for valid GET_REPLY
2023/01/09 03:43:19 | node0 | Reply: {1} {2} {INIT} {aub} {wce} {wmn} {z}
2023/01/09 03:43:20 | node0 | Called GET
2023/01/09 03:43:20 | node0 | Waiting for valid GET_REPLY
2023/01/09 03:43:20 | node0 | Reply: {1} {2} {INIT} {aub} {wce} {wmn} {z}
2023/01/09 03:43:22 | node0 | Called ADD(vtjai)
2023/01/09 03:43:22 | node0 | Waiting for f+1 ADD replies
2023/01/09 03:43:22 | node0 | Record {vtjai} appended
2023/01/09 03:43:23 | node0 | Called GET
2023/01/09 03:43:23 | node0 | Waiting for valid GET_REPLY
2023/01/09 03:43:23 | node0 | Reply: {1} {2} {INIT} {aub} {vtjai} {wce} {wmn} {z}
2023/01/09 03:43:23 | node0 | Called ADD(j)
2023/01/09 03:43:23 | node0 | Waiting for f+1 ADD replies
2023/01/09 03:43:23 | node0 | Record {j} appended
2023/01/09 03:43:24 | node0 | Called ADD(cabt)
2023/01/09 03:43:24 | node0 | Waiting for f+1 ADD replies
2023/01/09 03:43:24 | node0 | Record {cabt} appended
2023/01/09 03:43:25 | node0 | Called GET
2023/01/09 03:43:25 | node0 | Waiting for valid GET_REPLY
2023/01/09 03:43:25 | node0 | Reply: {1} {2} {INIT} {aub} {cabt} {j} {vtjai} {wce} {wmn} {z}
2023/01/09 03:43:26 | node0 | Called ADD(bzwym)
2023/01/09 03:43:26 | node0 | Waiting for f+1 ADD replies
2023/01/09 03:43:26 | node0 | Record {bzwym} appended
2023/01/09 03:43:27 | node0 | Called GET
2023/01/09 03:43:27 | node0 | Waiting for valid GET_REPLY
2023/01/09 03:43:27 | node0 | Reply: {1} {2} {INIT} {aub} {bzwym} {cabt} {j} {vtjai} {wce} {wmn} {z}
2023/01/09 03:43:29 | node0 | Called GET
2023/01/09 03:43:29 | node0 | Waiting for valid GET_REPLY
2023/01/09 03:43:29 | node0 | Reply: {1} {2} {INIT} {aub} {bzwym} {cabt} {j} {vtjai} {wce} {wmn} {z}
2023/01/09 03:43:29 | node0 | Called ADD(vke)
2023/01/09 03:43:29 | node0 | Waiting for f+1 ADD replies
2023/01/09 03:43:29 | node0 | Record {vke} appended
2023/01/09 03:43:30 | node0 | Called ADD(mvtof)
2023/01/09 03:43:30 | node0 | Waiting for f+1 ADD replies
2023/01/09 03:43:30 | node0 | Record {mvtof} appended
2023/01/09 03:43:30 | node0 | Called ADD(rerbg)
2023/01/09 03:43:30 | node0 | Waiting for f+1 ADD replies
2023/01/09 03:43:30 | node0 | Record {rerbg} appended
2023/01/09 03:43:31 | node0 | Called GET
2023/01/09 03:43:31 | node0 | Waiting for valid GET_REPLY
2023/01/09 03:43:31 | node0 | Reply: {1} {2} {INIT} {aub} {bzwym} {cabt} {j} {mvtof} {rerbg} {vke} {vtjai} {wce} {wmn} {z}
2023/01/09 03:43:31 | node0 | Called GET
2023/01/09 03:43:31 | node0 | Waiting for valid GET_REPLY
2023/01/09 03:43:31 | node0 | Reply: {1} {2} {INIT} {aub} {bzwym} {cabt} {j} {mvtof} {rerbg} {vke} {vtjai} {wce} {wmn} {z}
2023/01/09 03:43:33 | node0 | Called ADD(uh)
2023/01/09 03:43:33 | node0 | Waiting for f+1 ADD replies
2023/01/09 03:43:33 | node0 | Record {uh} appended
2023/01/09 03:43:33 | node0 | Called ADD(sj)
2023/01/09 03:43:33 | node0 | Waiting for f+1 ADD replies
2023/01/09 03:43:33 | node0 | Record {sj} appended
2023/01/09 03:43:35 | node0 | Called GET
2023/01/09 03:43:35 | node0 | Waiting for valid GET_REPLY
2023/01/09 03:43:35 | node0 | Reply: {1} {2} {INIT} {aub} {bzwym} {cabt} {j} {mvtof} {rerbg} {sj} {uh} {vke} {vtjai} {wce} {wmn} {z}
2023/01/09 03:43:35 | node0 | Called GET
2023/01/09 03:43:35 | node0 | Waiting for valid GET_REPLY
2023/01/09 03:43:35 | node0 | Reply: {1} {2} {INIT} {aub} {bzwym} {cabt} {j} {mvtof} {rerbg} {sj} {uh} {vke} {vtjai} {wce} {wmn} {z}
2023/01/09 03:43:37 | node0 | Called GET
2023/01/09 03:43:37 | node0 | Waiting for valid GET_REPLY
2023/01/09 03:43:37 | node0 | Reply: {1} {2} {INIT} {aub} {bzwym} {cabt} {j} {mvtof} {rerbg} {sj} {uh} {vke} {vtjai} {wce} {wmn} {z}
2023/01/09 03:43:39 | node0 | Called ADD(e)
2023/01/09 03:43:39 | node0 | Waiting for f+1 ADD replies
2023/01/09 03:43:39 | node0 | Record {e} appended
2023/01/09 03:43:39 | node0 | Called GET
2023/01/09 03:43:39 | node0 | Waiting for valid GET_REPLY
2023/01/09 03:43:39 | node0 | Reply: {1} {2} {INIT} {aub} {bzwym} {cabt} {e} {j} {mvtof} {rerbg} {sj} {uh} {vke} {vtjai} {wce} {wmn} {z}
2023/01/09 03:43:41 | node0 | Called GET
2023/01/09 03:43:41 | node0 | Waiting for valid GET_REPLY
